	Team	Model type	Pearson	Pearson_Log	Spearman	AUROC_8mer	AUPR_8mer
0	Team_12	k-mer	0.4611	0.5438	0.5382	0.9293	0.1503
1	Team_14	PWM	0.0	0.0004	0.0004	0.48700000000000004	0.003
2	Team_9	Other	0.4973	0.575	0.5617	0.9405	0.2484
3	Team_A	k-mer	0.5335	0.4605	0.431	0.9246	0.5837
4	Team_B	PWM	0.2677	0.18899999999999997	0.1003	0.8908	0.4617
5	Team_C	Other	0.5184	0.5227	0.4837	0.9747	0.5304
6	Team_D	k-mer	0.6413	0.6742	0.6394	0.9942	0.6997
7	Team_E	PWM	0.6375	0.6936	0.6735	0.9524	0.5223
8	Team_F	Other	0.6103	0.6732	0.6555	0.9766	0.5456
9	Team_G	k-mer	0.5728	0.6207	0.5735	0.9942	0.6739
10	Team_H	Other	0.4688	0.4171	0.3669	0.9906	0.6759
11	Team_I	Other	0.5814	0.6475	0.6921	0.94395	0.306
12	Team_J	Other	0.6117	0.65	0.6227	0.9649	0.5244
13	Team_K	k-mer	0.4612	0.5402	0.5313	0.9304	0.1559
